name,md5,abSize
audio/sound_beta_2/voice/char_2024_chyue_cfa#1.ab,c08eddb3dc3d3eb5c06b35112799fe6b,3584992
audio/sound_beta_2/voice/char_2025_shu.ab,d1f5dfbcd32ca2a398a1940ece71d634,2728347
audio/sound_beta_2/voice/char_2026_yu.ab,ce0e2e132288606ebe99bc729f1a0134,2644092
audio/sound_beta_2/voice/char_2027_wang.ab,667bfa1d6fd334cacf0979e0fd293248,2844047
audio/sound_beta_2/voice/char_202_demkni.ab,d8b86dcd60070d1905d58e1686bc74a9,1771202
audio/sound_beta_2/voice/char_204_platnm.ab,a9967611f8882cffe3cf2cdbe1733183,1842549
audio/sound_beta_2/voice/char_206_gnosis.ab,881662a20967d3ed8659b1c11845fd1a,2415756
audio/sound_beta_2/voice/char_208_melan.ab,ef27c66767385bbeaa33b999b2fd208f,1725395
audio/sound_beta_2/voice/char_209_ardign.ab,57a16780694a377880685b0c686e3cb2,2375174
audio/sound_beta_2/voice/char_210_stward.ab,3015cd57f57c7fe25a61ab996ced6e4d,1820327
audio/sound_beta_2/voice/char_211_adnach.ab,3e25674bf9c53e3fc015a08d4ada39e3,1844865
audio/sound_beta_2/voice/char_212_ansel.ab,365c96eff501ad2ed0470355fcb73a7a,1938696
audio/sound_beta_2/voice/char_213_mostma.ab,b5de4a31715db5ca2ef03cf230ae8619,2463317
audio/sound_beta_2/voice/char_214_kafka.ab,6baa046e3e75c4a03011db44b7b52632,2179240
audio/sound_beta_2/voice/char_215_mantic.ab,b846f3ff28d99dcce6caadca305d426d,1776953
audio/sound_beta_2/voice/char_218_cuttle.ab,39df673d66174f78a5048f29979ab4ed,2869621
audio/sound_beta_2/voice/char_219_meteo.ab,1a20ed0556ae9b0c7e82703dbfe77f09,1954367
audio/sound_beta_2/voice/char_220_grani.ab,d9167822d53a7690154927dd02f6efb9,2101634
audio/sound_beta_2/voice/char_222_bpipe.ab,f4537784131a45ddc130872e4ddd9c8a,2854537
audio/sound_beta_2/voice/char_225_haak.ab,579c91efee1462f5d030e90de3340a32,3106748
audio/sound_beta_2/voice/char_226_hmau.ab,7ea409168002e71a62571829bf9e3f97,2280805
audio/sound_beta_2/voice/char_230_savage.ab,429c3a7b6a72e0c69aa2b360f3ee425a,1662184
audio/sound_beta_2/voice/char_235_jesica.ab,263c1826081dce31cd8313fb225e4433,2340260
audio/sound_beta_2/voice/char_236_rope.ab,8202cb4e007b32516dcc79528c4e607a,1841318
audio/sound_beta_2/voice/char_237_gravel.ab,eba373bd9e3f3cf2b2d37b7db2e8ce0f,1880354
audio/sound_beta_2/voice/char_240_wyvern.ab,76a20b8f11d7e1a5ae1f3a9d9856c26b,1722433
audio/sound_beta_2/voice/char_241_panda.ab,794daf5126d16864e1da1ae7479d6ec7,2567129
audio/sound_beta_2/voice/char_242_otter.ab,d4889f155b6808ac6d0d182f8af2de11,2085854
audio/sound_beta_2/voice/char_243_waaifu.ab,6c7436a25103a69140f5c197bd08ee09,3216498
audio/sound_beta_2/voice/char_245_cello.ab,99346d86f54eb48b001c70fc8f7e1efe,2884678
audio/sound_beta_2/voice/char_245_cello_sale#12.ab,72bb75dbae0a2f326cfdb0b11dbe6b0d,2489147
audio/sound_beta_2/voice/char_248_mgllan.ab,58d6e717565c15e4fb93255583dee7f2,2497187
audio/sound_beta_2/voice/char_249_mlyss.ab,c4d01f38011c224f914e346b18b47d51,2334572
audio/sound_beta_2/voice/char_249_mlyss_boc#8.ab,ebd946de61a599a648ff976ef500fce9,2538301
audio/sound_beta_2/voice/char_250_phatom.ab,cf97faae997cfce1d949bff6d8056df8,3036276
audio/sound_beta_2/voice/char_252_bibeak.ab,2c174068274f53c24085ff85b78c0180,3551324
audio/sound_beta_2/voice/char_253_greyy.ab,0eca7d4ee9595c8cc7be7ed4f994e128,2779241
audio/sound_beta_2/voice/char_254_vodfox.ab,2a2cdb74ef037347434a8431e5a3f63d,2689194
audio/sound_beta_2/voice/char_258_podego.ab,3b6d2e26fd03ecf2fba1ff0ddf3c900e,1900567
audio/sound_beta_2/voice/char_260_durnar.ab,590edfd0e72708430c99a059ed03ce37,2190871
audio/sound_beta_2/voice/char_261_sddrag.ab,33beaff2773aee89679f8f86092cd57c,2712898
audio/sound_beta_2/voice/char_263_skadi.ab,b84ba134ee74e5ec12305de02758db17,2390822
audio/sound_beta_2/voice/char_264_f12yin.ab,032fe29cfbe32a6ab42ffaf559f16232,3485171
audio/sound_beta_2/voice/char_265_sophia.ab,3e2ecda8e70b51f55950ed8fb964c9e6,2523739
audio/sound_beta_2/voice/char_271_spikes.ab,b4f1aa30c32adf1f75aa369de508c4aa,2604580
audio/sound_beta_2/voice/char_272_strong.ab,65cbe3bef0cb96216a97d5882450a5b6,2215536
audio/sound_beta_2/voice/char_274_astesi.ab,0b19e72aabff6faed87e225ac45bb32b,2511283
audio/sound_beta_2/voice/char_275_breeze.ab,717828a88007ec2ae7cf7b973e624037,2402298
audio/sound_beta_2/voice/char_277_sqrrel.ab,ee61112eed05ba455bedb9488b90ab54,1128142
audio/sound_beta_2/voice/char_278_orchid.ab,a91a3dbef76a26f19fc5191571cfdd25,1673580
audio/sound_beta_2/voice/char_279_excu.ab,055e8a42ad6733db9c5642c8417cc572,2871975
audio/sound_beta_2/voice/char_281_popka.ab,80e0ce98ac5870deacf40b4ca7b0e041,2536724
audio/sound_beta_2/voice/char_282_catap.ab,2e48f2c0a5d1f4069b26f7e1e3732508,2736419
audio/sound_beta_2/voice/char_283_midn.ab,f0e4642401970f397523d8b515a209ab,1662237
audio/sound_beta_2/voice/char_284_spot.ab,8a5d55d0b16bc8438c0a27771aa870dd,1616232
audio/sound_beta_2/voice/char_285_medic2.ab,675fa3034763a6c69f1ca52f29153793,1470805
audio/sound_beta_2/voice/char_286_cast3.ab,6682b577bfa3996bd0045e86a2a34480,932190
audio/sound_beta_2/voice/char_289_gyuki.ab,1ce5367d8f2b24b42905fd7b57829d9e,2342775
audio/sound_beta_2/voice/char_290_vigna.ab,a238f015eb007737cb8e34dc1a5190b1,2276005
audio/sound_beta_2/voice/char_291_aglina.ab,f6a04b5430139685ce1854d4b12369b5,2724598
audio/sound_beta_2/voice/char_293_thorns.ab,52ef85dd44163e6ae95ec81c1e415d54,2722953
audio/sound_beta_2/voice/char_294_ayer.ab,85404a24875e64dd478e2dbc9d89f3df,1864538
audio/sound_beta_2/voice/char_297_hamoni.ab,5f4252907e6b39b2f6e8e599ccb2b306,2140447
audio/sound_beta_2/voice/char_298_susuro.ab,a25d1eb6f4a01969db25cb2ad8b61e98,2790472
audio/sound_beta_2/voice/char_300_phenxi.ab,fcb60a6e7ccb45699daa127b259ad572,2991934
audio/sound_beta_2/voice/char_301_cutter.ab,4deaaf97ff2c6ad3fd9f5238619f395c,2774345
audio/sound_beta_2/voice/char_302_glaze.ab,fb63b3d8fc2a2036c41fd34a20b440f7,2794550
audio/sound_beta_2/voice/char_304_zebra.ab,b59c1004c3279dae6e1e8938a466a6cb,2360875
